,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Vote,Gross,Description,Director,Stars
809,Cầu Thủ Bóng Chày,2013,128,7.5,62,"97,069",$95.00M,"In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process.",Brian Helgeland,"['Chadwick Boseman', 'T.R. Knight', 'Harrison Ford', 'Nicole Beharie']"
810,Waves,I 2019,135,7.5,80,"26,924",*****,"Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.",Trey Edward Shults,"['Taylor Russell', 'Kelvin Harrison Jr.', 'Alexa Demie', 'Bill Wise']"
811,Cuộc Đời Phi Thường Của Chú Chó Enzo,2019,109,7.5,43,"33,095",$25.50M,"Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.",Simon Curtis,"['Kevin Costner', 'Milo Ventimiglia', 'Jackie Minns', 'Marcus Hondro']"
812,Le grand bleu,1988,168,7.5,35,"52,559",$3.50M,"The rivalry between Enzo and Jacques, two childhood friends and now world-renowned free divers, becomes a beautiful and perilous journey into oneself and the unknown.",Luc Besson,"['Jean-Marc Barr', 'Jean Reno', 'Rosanna Arquette', 'Paul Shenar']"
813,Field of Dreams,1989,107,7.5,57,"121,334",$64.43M,"Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true.",Phil Alden Robinson,"['Kevin Costner', 'James Earl Jones', 'Ray Liotta', 'Amy Madigan']"
814,Rudy,1993,114,7.5,71,"65,102",$22.75M,Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.,David Anspaugh,"['Sean Astin', 'Jon Favreau', 'Ned Beatty', 'Greta Lind']"
815,83,2021,162,7.5,^^^^^^,"38,422",*****,"On June 25, 1983, the Lord's Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage.",Kabir Khan,"['Ranveer Singh', 'Deepika Padukone', 'Tahir Raj Bhasin', 'Jiiva']"
816,Đội Bóng Chết Dẫm,2009,98,7.5,81,"44,532",$0.45M,The story of the controversial Brian Clough's 44-day reign as the coach of the English football club Leeds United.,Tom Hooper,"['Colm Meaney', 'Henry Goodman', 'David Roper', 'Jimmy Reddington']"
817,Nữ Hoàng Poker,2017,140,7.4,71,"176,051",$28.78M,"The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.",Aaron Sorkin,"['Jessica Chastain', 'Idris Elba', 'Kevin Costner', 'Michael Cera']"
818,Hooligans,2005,109,7.4,55,"153,414",$0.34M,"A wrongfully expelled Harvard undergrad moves to London, where he is introduced to the violent underworld of football hooliganism.",Lexi Alexander,"['Elijah Wood', 'Charlie Hunnam', 'Claire Forlani', 'Marc Warren']"
